Seller Gstin,Invoice Number,Invoice Date,Transaction Type,Order Id,Shipment Id,Shipment Date,Order Date,Shipment Item Id,Quantity,Item Description,Asin,Hsn/sac,Sku,Product Tax Code,Bill From City,Bill From State,Bill From Country,Bill From Postal Code,Ship From City,Ship From State,Ship From Country,Ship From Postal Code,Ship To City,Ship To State,Ship To Country,Ship To Postal Code,Invoice Amount,Tax Exclusive Gross,Total Tax Amount,Cgst Rate,Sgst Rate,Utgst Rate,Igst Rate,Compensatory Cess Rate,Principal Amount,Principal Amount Basis,Cgst Tax,Sgst Tax,Igst Tax,Utgst Tax,Compensatory Cess Tax,Shipping Amount,Shipping Amount Basis,Shipping Cgst Tax,Shipping Sgst Tax,Shipping Utgst Tax,Shipping Igst Tax,Shipping Cess Tax Amount,Gift Wrap Amount,Gift Wrap Amount Basis,Gift Wrap Cgst Tax,Gift Wrap Sgst Tax,Gift Wrap Utgst Tax,Gift Wrap Igst Tax,Gift Wrap Compensatory Cess Tax,Item Promo Discount,Item Promo Discount Basis,Item Promo Tax,Shipping Promo Discount,Shipping Promo Discount Basis,Shipping Promo Tax,Gift Wrap Promo Discount,Gift Wrap Promo Discount Basis,Gift Wrap Promo Tax,Tcs Cgst Rate,Tcs Cgst Amount,Tcs Sgst Rate,Tcs Sgst Amount,Tcs Utgst Rate,Tcs Utgst Amount,Tcs Igst Rate,Tcs Igst Amount,Warehouse Id,Fulfillment Channel,Payment Method Code,Credit Note No,Credit Note Date
07HCLPS9492G1ZN,IN-34,02-05-2019 12:37,MFNShipment,408-1020092-0647562,1.24E+13,03-05-2019 14:13,02-05-2019 12:07,1.87E+11,1,Erma Leather Case 0 32  Brix Hand Held Refractometers with Automatic Temperature Compensation for Sugar Content Measurement,B07H8PM1TQ,,QJ YW7D MFSQ,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,MORADABAD,UTTAR PRADESH,IN,244001,1416,1200,216,0,0,0,0.18,0,1416,1200,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,12,,MFN,COD,,
07HCLPS9492G1ZN,IN-35,02-05-2019 18:11,MFNShipment,405-5568979-0726753,1.12E+13,03-05-2019 14:13,02-05-2019 17:45,1.88E+11,1,Erma Original Honey Refractometer for Honey Moisture  Brix and Baume  3 in 1 Uses  58 90  Brix Scale Range Honey Moisture Tester  with ATC  Ideal for,B07J3BKCKR,,HR 2516,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,CHENNAI,TAMIL NADU,IN,600095,1534,1300,234,0,0,0,0.18,0,1534,1300,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,13,,MFN,COD,,
07HCLPS9492G1ZN,IN-33,01-05-2019 14:59,MFNShipment,407-9614924-2477918,1.20E+13,03-05-2019 14:13,01-05-2019 14:29,1.88E+11,1,Erma Leather Case 0 32  Brix Hand Held Refractometers with Automatic Temperature Compensation for Sugar Content Measurement,B07H8PM1TQ,,QJ YW7D MFSQ,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,LUDHIANA,PUNJAB,IN,141008,1416,1200,216,0,0,0,0.18,0,1416,1200,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,12,,MFN,COD,,
07HCLPS9492G1ZN,CN-4,22-04-2019 12:21,Refund,406-2219365-3839501,9.17E+12,22-04-2019 14:35,22-04-2019 11:52,1.85E+11,1,Erma Leather Case 0 32  Brix Hand Held Refractometers with Automatic Temperature Compensation for Sugar Content Measurement,B07H8PM1TQ,,QJ YW7D MFSQ,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,THALASSERY,KERALA,IN,670101,-1416,-1200,-216,0,0,0,0.18,0,1416,-1200,0,0,-216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-12,,MFN,NB,,
07HCLPS9492G1ZN,IN-37,03-05-2019 13:34,MFNShipment,405-0944893-4432334,1.12E+13,05-05-2019 11:14,03-05-2019 13:08,1.87E+11,1,Erma Original Honey Refractometer for Honey Moisture  Brix and Baume  3 in 1 Uses  58 90  Brix Scale Range Honey Moisture Tester  with ATC  Ideal for,B07J3BKCKR,,HR 2516,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,Thrissur,KERALA,IN,680021,1534,1300,234,0,0,0,0.18,0,1534,1300,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,13,,MFN,COD,,
07HCLPS9492G1ZN,IN-39,05-05-2019 11:32,MFNShipment,402-1597418-6417123,1.12E+13,06-05-2019 11:29,05-05-2019 11:03,1.87E+11,1,Erma Leather Case 0 32  Brix Hand Held Refractometers with Automatic Temperature Compensation for Sugar Content Measurement,B07H8PM1TQ,,QJ YW7D MFSQ,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,RAJKOT,GUJARAT,IN,360004,1416,1200,216,0,0,0,0.18,0,1416,1200,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,12,,MFN,COD,,
07HCLPS9492G1ZN,IN-41,06-05-2019 18:29,Cancel,406-0912527-1462710,1.28E+13,,,1.87E+11,2,,B07J39DMNG,,,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,PUNE,MAHARASHTRA,IN,411060,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,0,,0,,0,,0,,,,,
07HCLPS9492G1ZN,IN-41,06-05-2019 18:29,MFNShipment,406-0912527-1462710,1.28E+13,06-05-2019 19:41,06-05-2019 17:59,1.87E+11,2,Original Erma 0 18  Brix Hand Held Refractometers with  ATC  for Brix Testing synthetic machining Coolants  maple sap  Cutting Liquid  CNC  For maple,B07J39DMNG,,HR 2514,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,PUNE,MAHARASHTRA,IN,411060,3068,2600,468,0,0,0,0.18,0,3068,2600,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,26,,MFN,CC_POA,,
07HCLPS9492G1ZN,IN-43,06-05-2019 22:29,MFNShipment,406-9450948-0137941,1.12E+13,07-05-2019 11:22,06-05-2019 22:01,1.87E+11,1,Original Erma 0 55  Brix Hand Held Refractometers with  ATC  ATC 0 2  Resolution Hand Held Sugar Content Measurement for Sugar  Food  Fruit  Beverages,B07N7LGLFW,,VJ HX2A LFJG,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,NASHIK,MAHARASHTRA,IN,422101,1534,1300,234,0,0,0,0.18,0,1534,1300,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,13,,MFN,CC,,
07HCLPS9492G1ZN,IN-42,06-05-2019 19:16,MFNShipment,406-2848337-2840309,1.12E+13,07-05-2019 11:22,06-05-2019 18:53,1.86E+11,1,Erma Leather Case 0 32  Brix Hand Held Refractometers with Automatic Temperature Compensation for Sugar Content Measurement,B07H8PM1TQ,,QJ YW7D MFSQ,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110030,1416,1200,216,0.09,0.09,0,0,0,1416,1200,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,6,0.005,6,0,0,0,0,,MFN,CC,,
